review_id,target,public
3,0,0
4,0,0
13,8,1
14,0,0
17,8,0
23,8,1
24,0,1
26,8,1
34,"1,8",0
36,0,0
39,0,1
40,8,1
46,0,0
50,8,0
52,8,1
60,0,0
61,8,0
62,0,1
70,0,1
72,0,1
75,0,1
77,8,1
78,8,0
80,8,0
83,8,1
85,0,1
86,8,0
88,8,0
89,0,0
94,0,0
97,0,0
102,0,1
103,0,1
107,"5,8",0
108,8,0
112,8,1
120,0,1
126,8,1
129,0,1
130,0,0
131,8,1
136,0,0
140,8,1
142,"5,8",1
155,0,1
162,0,0
165,0,0
166,8,1
175,"1,8",1
178,8,0
180,"6,8",1
182,8,0
188,0,0
190,8,1
193,8,1
194,0,0
197,0,0
204,"1,5",1
207,"6,8",0
210,8,1
212,8,1
217,8,1
218,0,0
219,0,0
222,0,1
223,8,1
225,0,1
235,8,1
242,0,0
245,8,0
246,0,0
247,8,1
251,8,1
255,0,1
256,8,1
267,0,0
268,8,0
269,0,1
282,8,1
286,0,1
287,"1,8",1
294,0,1
303,0,1
307,0,0
310,0,1
312,"1,8",1
313,0,0
319,0,1
320,8,1
326,8,0
332,8,1
334,0,0
340,0,0
341,8,1
343,0,1
344,8,1
345,0,1
349,8,0
350,8,1
353,0,1
354,8,0
358,8,1
360,0,1
361,0,1
366,0,0
376,8,0
380,8,0
382,0,0
384,0,1
386,8,0
387,8,0
390,8,0
392,0,1
397,8,1
398,0,1
399,"1,8",1
403,8,0
409,8,1
417,0,1
421,8,1
424,8,1
430,8,1
432,8,0
433,"1,8",0
436,8,0
437,8,0
440,8,1
441,8,0
444,"1,8",1
448,0,1
451,8,1
452,8,0
462,8,1
463,0,1
466,8,0
467,0,1
469,0,0
471,1,1
477,0,1
492,0,0
494,8,1
496,8,0
498,8,1
500,8,1
506,0,0
509,8,1
516,8,0
520,"1,6",0
521,8,1
527,8,1
532,0,1
534,8,0
555,0,0
559,8,1
564,0,1
567,0,1
571,0,0
577,0,0
583,0,0
586,0,1
588,0,1
589,8,1
594,0,0
598,8,1
601,8,0
603,0,1
615,8,1
617,8,0
619,0,1
625,0,1
627,0,0
629,0,1
631,8,1
637,0,1
640,0,1
642,8,0
650,8,1
652,8,1
656,0,1
657,8,1
673,0,0
681,8,0
691,8,1
695,7,1
700,8,0
703,"1,8",0
705,0,1
712,0,0
716,8,1
719,0,1
726,1,1
728,8,0
729,8,1
733,8,1
734,0,1
736,8,1
737,0,0
743,7,1
746,0,1
753,0,0
756,0,0
758,8,0
759,8,0
764,8,1
766,1,1
767,8,0
775,0,0
779,0,1
780,8,0
782,0,1
789,6,0
794,8,0
795,8,0
796,0,0
797,0,1
798,1,1
799,3,1
801,0,0
802,8,1
803,1,1
804,0,0
805,0,1
807,8,1
809,8,1
810,8,1
813,8,0
815,0,1
826,8,0
832,8,0
834,8,1
837,"6,8",1
838,8,1
840,8,0
847,8,1
852,0,1
853,0,1
854,8,1
856,8,1
857,8,0
860,0,1
865,8,0
866,8,0
869,8,0
872,8,1
873,8,0
877,8,0
879,0,1
887,8,1
889,0,1
894,0,1
904,0,1
908,8,0
911,0,0
914,7,0
918,0,1
919,0,0
924,8,1
926,0,1
929,8,0
934,8,0
935,7,1
937,0,0
938,0,1
939,0,1
947,0,1
956,0,0
959,8,1
964,0,0
967,8,1
969,8,1
974,8,1
977,8,1
979,"1,8",0
981,8,1
983,0,1
987,8,0
990,8,0
993,0,0
999,8,0
1001,0,0
1004,0,1
1014,8,0
1020,8,1
1032,1,0
1034,0,0
1035,0,0
1036,8,1
1053,8,1
1063,8,1
1064,8,1
1068,"1,8",0
1074,0,1
1077,0,1
1080,8,0
1082,8,1
1090,8,0
1094,0,1
1095,8,0
1096,3,1
1100,0,1
1102,0,0
1110,8,1
1112,8,1
1115,8,0
1118,8,1
1119,8,1
1120,8,1
1123,3,1
1126,8,1
1135,8,1
1138,8,0
1139,8,0
1140,"6,8",0
1149,8,1
1153,8,0
1157,0,1
1159,0,0
1160,0,0
1162,0,1
1163,8,0
1165,8,1
1168,0,1
1171,0,1
1172,0,0
1183,0,1
1184,8,0
1185,0,1
1186,8,1
1189,0,1
1190,0,0
1192,8,0
1195,0,1
1201,8,1
1205,8,0
1213,8,0
1217,8,0
1218,0,1
1223,8,0
1226,0,1
1228,0,0
1229,8,0
1240,0,0
1244,8,0
1245,0,1
1253,0,0
1255,"1,8",0
1256,0,1
1261,0,1
1264,8,0
1269,0,1
1271,8,0
1273,0,0
1275,0,1
1278,0,1
1280,8,1
1281,8,1
1288,0,0
1289,8,0
1294,8,1
1295,0,0
1298,3,0
1301,0,0
1303,0,0
1304,0,1
1316,0,0
1319,8,0
1320,8,0
1323,8,1
1326,8,1
1340,3,1
1341,8,1
1350,0,1
1354,8,1
1355,0,1
1356,8,0
1359,8,1
1364,8,1
1366,0,1
1367,8,0
1368,0,0
1369,8,1
1370,0,1
1379,"6,8",0
1384,8,0
1387,0,0
1388,8,1
1390,8,0
1393,0,1
1396,0,0
1398,0,1
1401,0,1
1402,0,1
1403,8,1
1408,"1,8",0
1416,8,1
1417,0,0
1419,8,0
1422,8,1
1423,8,0
1425,0,1
1426,8,0
1427,8,0
1433,0,1
1434,3,1
1439,8,0
1442,8,0
1445,8,0
1448,8,0
1451,"1,8",0
1461,8,1
1463,8,1
1464,8,0
1465,8,1
1467,0,1
1472,0,0
1474,8,0
1478,7,1
1481,8,1
1486,0,1
1493,8,0
1500,8,0
1506,0,1
1507,8,1
1511,1,0
1514,8,1
1517,8,1
1525,8,1
1526,1,0
1528,8,0
1530,8,0
1536,0,0
1539,0,0
1542,0,0
1546,0,0
1547,8,1
1550,8,0
1551,0,0
1554,0,0
1555,1,1
1563,0,1
1567,0,0
1570,8,0
1572,8,0
1577,8,0
1578,0,1
1579,0,1
1583,0,0
1590,0,0
1591,0,1
1593,8,0
1599,"3,8",0
1601,0,1
1610,0,1
1612,0,0
1616,"6,8",0
1617,0,1
1618,8,1
1625,8,0
1627,8,0
1630,8,1
1632,0,0
1637,8,0
1640,8,1
1641,0,0
1645,0,1
1649,0,0
1653,8,0
1656,0,1
1660,8,0
1663,0,1
1666,8,1
